date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,230,Call,0.07,0.1,0.215,0.0161,0.0026,-0.0066,0.0283,0.004
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,230,Put,36.85,38,0.215,-1,0,0,0,-0.0002
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,235,Call,0.03,0.06,0.2191,0.0089,0.0015,-0.004,0.017,0.0022
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,235,Put,41.8,42.85,0.2191,-1,0,0,0,-0.0002
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,240,Call,0.03,0.04,0.2327,0.0067,0.0011,-0.0033,0.0132,0.0016
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,240,Put,46.8,48,0.2327,-1,0,0,0,-0.0002
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,245,Call,0.02,0.04,0.248,0.0055,0.0009,-0.0029,0.0111,0.0013
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,245,Put,51.8,52.8,0.248,-1,0,0,0,-0.0002
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,250,Call,0.01,0.03,0.2666,0.0051,0.0007,-0.003,0.0105,0.0012
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,250,Put,56.75,57.85,0.2666,-1,0,0,0,-0.0002
2024-01-03 00:00:00 +0000 UTC,AAPL,2024-01-19 00:00:00 +0000 UTC,130,Call,54.5,54.75,0.7068,0.9928,0.0007,-0.036,0.0077,0.0562
2024-01-03 00:00:00 +0000 UTC,AAPL,2024-01-19 00:00:00 +0000 UTC,130,Put,0.01,0.02,0.6174,-0.0027,0.0003,-0.0061,0.0032,-0.0002
2024-01-03 00:00:00 +0000 UTC,AAPL,2024-01-19 00:00:00 +0000 UTC,135,Call,49.5,49.95,0.7155,0.9849,0.0013,-0.0523,0.0146,0.0577
2024-01-03 00:00:00 +0000 UTC,AAPL,2024-01-19 00:00:00 +0000 UTC,135,Put,0.01,0.02,0.5564,-0.0029,0.0004,-0.006,0.0035,-0.0002
2024-01-03 00:00:00 +0000 UTC,AAPL,2024-01-19 00:00:00 +0000 UTC,140,Call,44.45,44.8,0.542,0.9937,0.0008,-0.032,0.0067,0.0606
